posterid,name,belongs,first
15,今川 裕士,筑波大学,1
15,鄒 一民,筑波大学,0
15,古谷 翔太,筑波大学,0
15,万 姗姗,筑波大学,0
16,高杉 秀有平,筑波大学,1
16,星 遼平,筑波大学,0
16,柳沼 工也,筑波大学,0
16,林 東火,筑波大学,0
17,SHENTU WEICHENG,筑波大学,0
17,寺田 貴俊,筑波大学,1
17,横山 賢吾,筑波大学,0
18,大木 遼太,筑波大学,1
18,河越 嵩介,筑波大学,0
18,孫 嘉成,筑波大学,0
18,鄭 万嘉,筑波大学,0
19,大桶 真宏,筑波大学,1
19,門脇 裕,筑波大学,0
19,崔 野,筑波大学,0
1,糸川 春樹,埼玉大学,1
1,鮫島 光志,埼玉大学,0
1,中島 健二,埼玉大学,0
2,門 祥平,山口大学,1
2,真島 伶奈,山口大学,0
2,山田 賢介,山口大学,0
2,山本 郁,山口大学,0
2,和田 脩平,山口大学,0
3,石橋 諒馬,筑波大学,0
3,今井 拓也,筑波大学,0
3,久保 翔平,筑波大学,0
3,孫 辰,筑波大学,0
3,花松 俊文,筑波大学,1
4,伊藤 大介,筑波大学,0
4,木村 祐樹,筑波大学,0
4,中川 みなみ,筑波大学,0
4,布施 秀剛,筑波大学,1
4,松原 久恵,愛媛大学,0
5,北野 拓磨,筑波大学,0
5,江 健太郎,筑波大学,0
5,菅野 恭平,筑波大学,1
5,長南 貴寛,筑波大学,0
5,渡辺 亮友,筑波大学,0
6,浦井 智之,千葉大学,1
6,小池 泰輔,千葉大学,0
6,小宮山 哲俊,千葉大学,0
6,原 清貴,千葉大学,0
7,飯塚 洸二郎,筑波大学,0
7,大西 誠,筑波大学,1
7,岡田 莉奈,筑波大学,0
7,川崎 将平,筑波大学,0
7,熊本 和正,筑波大学,0
7,小柳 涼介,筑波大学,0
8,小西 琢也,筑波大学,0
8,谷口 正訓,筑波大学,0
8,中島 光夫,筑波大学,1
8,山下 和輝,筑波大学,0
9,武田 修平,筑波大学,1
9,根本 賢,茨城大学,0
9,長谷川 貴紀,筑波大学,0
9,東 優太,筑波大学,0
9,正木 一平,筑波大学,0
10,大野 誠,筑波大学,1
10,木下 覚,筑波大学,0
10,深津 佳智,筑波大学,0
10,三浦 忠善,岩手大学,0
11,大森 祐貴,茨城大学,0
11,岡本 吉晃,茨城大学,0
11,丸山 翔平,茨城大学,0
11,茂木 嶺志,東京理科大学,0
11,安井 岳,岩手大学,0
11,和知 徳磨,東京理科大学,1
12,越智 雅人,愛媛大学,1
12,藤田 慎平,愛媛大学,0
12,松下 啓介,愛媛大学,0
12,安永 竜矢,愛媛大学,0
13,安部 小百合,お茶の水女子大学,1
13,門脇 香子,お茶の水女子大学,0
13,郷治 雅,お茶の水女子大学,0
13,吉國 綺乃,お茶の水女子大学,0
14,伊藤 圭宏,茨城大学,1
14,鈴木 亮大,茨城大学,0
14,高橋 邦光,茨城大学,0
14,藤嶋 悠史,茨城大学,0
