posterid,name,belongs,first
1,松枝 知香,お茶の水女子大学大学院,1
1,伊藤 貴之,お茶の水女子大学大学院,0
2,高橋 慶多,横浜国立大学,1
2,細澤 直人,横浜国立大学,0
2,西本 直樹,横浜国立大学,0
2,富井 尚志,横浜国立大学,0
3,畑谷 卓哉,神戸大学,1
3,熊谷 良夫,神戸大学,0
3,鎌田 十三郎,神戸大学,0
4,真下 遼,甲南大学,1
4,梅谷 智弘,甲南大学,0
4,北村 達也,甲南大学,0
4,灘本 明代,甲南大学,0
5,林 亜紀,NTTサービスエボリューション研究所,1
5,幸島 匡宏,NTTサービスエボリューション研究所,0
5,松林 達史,NTTサービスエボリューション研究所,0
5,澤田 宏,NTTサービスエボリューション研究所,0
6,笹川 裕人,北海道大学,1
6,山本 雅大,北海道大学,0
6,栗田 和宏,北海道大学,0
6,有村 博紀,北海道大学,0
7,欅 惇志,東京工業大学,1
7,荒瀬 由紀,大阪大学,0
7,山本 風人,東北大学,0
7,辻井 潤一,マイクロソフト・リサーチアジア,0
8,別所 暁秀,兵庫県立大学,1
8,湯本 高行,兵庫県立大学,0
8,新居 学,兵庫県立大学,0
8,佐藤 邦弘,兵庫県立大学,0
9,川上 尚慶,岡山大学,1
9,太田 学,岡山大学,0
9,高須 淳宏,国立情報学研究所,0
9,安達 淳,国立情報学研究所,0
10,朝永 聖也,京都産業大学,1
10,中島 伸介,京都産業大学,0
10,稲垣 陽一,株式会社きざしカンパニー,0
10,中本 レン,株式会社きざしカンパニー,0
10,張 建偉,筑波技術大学,0
11,藤野 巖,東海大学,1
11,星野 祐子,東海大学,0
12,鳥海 不二夫,東京大学,1
12,榊 剛史,東京大学,0
13,野呂 勇太,静岡大学,1
13,廣田 雅春,静岡大学,0
13,野澤 浩樹,株式会社シーポイント,0
13,横山 昌平,静岡大学,0
14,山本 修平,筑波大学,1
14,若林 啓,筑波大学,0
14,佐藤 哲司,筑波大学,0
15,江崎 健司,日本電信電話株式会社　NTTサービスエボリューション研究所,1
15,高屋 典子,日本電信電話株式会社　NTTサービスエボリューション研究所,0
15,澤田 宏,日本電信電話株式会社　NTTサービスエボリューション研究所,0
16,小林 直,株式会社KDDI研究所,1
16,石塚 宏紀,株式会社KDDI研究所,0
16,村松 茂樹,株式会社KDDI研究所,0
16,小野 智弘,株式会社KDDI研究所,0
17,中村 達哉,大阪大学大学院情報科学研究科,1
17,白川 真澄,大阪大学大学院情報科学研究科,0
17,原 隆浩,大阪大学大学院情報科学研究科,0
17,西尾 章治郎,大阪大学大学院情報科学研究科,0
18,山中 隆広,兵庫県立大学,1
18,湯本 高行,兵庫県立大学,0
18,新居 学,兵庫県立大学,0
18,佐藤 邦弘,兵庫県立大学,0
19,高田 夏彦,京都産業大学コンピュータ理工学部,1
19,上田 真由美,流通科学大学総合政策学部,0
19,森下 幸俊,大日本印刷株式会社C&I事業部,0
19,中島 伸介,京都産業大学コンピュータ理工学部,0
20,中野 裕介,兵庫県立大学,1
20,湯本 高行,兵庫県立大学,0
20,新居 学,兵庫県立大学,0
20,佐藤 邦弘,兵庫県立大学,0
21,前野 明子,岡山大学大学院自然科学研究科,1
21,太田 学,岡山大学大学院自然科学研究科,0
21,高須 淳宏,国立情報学研究所,0
22,藤村 雄基,横浜国立大学,1
22,萩生田 明徳,横浜国立大学,0
22,木島 彩梨沙,横浜国立大学,0
22,富井 尚志,横浜国立大学,0
23,松尾 哉太,岡山大学大学院自然科学研究科,1
23,新妻 弘崇,岡山大学大学院自然科学研究科,0
23,太田 学,岡山大学大学院自然科学研究科,0
24,松原 宏和,岡山大学,1
24,新妻 弘崇,岡山大学,0
24,太田 学,岡山大学,0
25,小山田 昌史,NEC,1
25,陳 テイ,NEC,0
25,成田 和世,NEC,0
25,荒木 拓也,NEC,0
26,石川 佳治,名古屋大学/国立情報学研究所,1
26,佐々木 勇和,名古屋大学,0
26,簗井 美咲,名古屋大学,0
26,高橋 正和,名古屋大学,0
26,杉浦 健人,名古屋大学,0
27,鈴木 順,NEC/東大,1
27,菅 真樹,NEC,0
27,林 佑樹,NEC,0
27,荒木 拓也,NEC,0
27,宮川 伸也,NEC,0
27,喜連川 優,東大,0
28,山口 晃広,名古屋大学大学院情報科学研究科附属組込みシステム研究センター,1
28,渡辺 陽介,名古屋大学未来社会創造機構,0
28,佐藤 健哉,名古屋大学大学院情報科学研究科附属組込みシステム研究センター/同志社大学モビリティ研究センター,0
28,中本 幸一,名古屋大学大学院情報科学研究科附属組込みシステム研究センター/兵庫県立大学大学院応用情報科学研究科),0
28,高田 広章,名古屋大学大学院情報科学研究科附属組込みシステム研究センター,0
