width,height
108,144

x,y,width,height,direction
7,4,6,11,longways
21,13,76,5,sideways
7,16,6,11,longways
93,18,4,11,longways
18,19,11,6,sideways
30,19,11,6,sideways
43,19,11,6,sideways
55,19,11,6,sideways
68,19,11,6,sideways
80,19,11,6,sideways
18,26,11,6,sideways
30,26,11,6,sideways
43,26,11,6,sideways
55,26,11,6,sideways
68,26,11,6,sideways
80,26,11,6,sideways
7,28,6,11,longways
7,41,6,11,longways
18,44,11,6,sideways
30,44,11,6,sideways
43,44,11,6,sideways
55,44,11,6,sideways
68,44,11,6,sideways
80,44,11,6,sideways
18,51,11,6,sideways
30,51,11,6,sideways
43,51,11,6,sideways
55,51,11,6,sideways
68,51,11,6,sideways
80,51,11,6,sideways
7,53,6,11,longways
7,67,6,11,longways
18,72,11,6,sideways
30,72,11,6,sideways
43,72,11,6,sideways
55,72,11,6,sideways
68,72,11,6,sideways
80,72,11,6,sideways
7,79,6,11,longways
18,79,11,6,sideways
30,79,11,6,sideways
43,79,11,6,sideways
55,79,11,6,sideways
68,79,11,6,sideways
80,79,11,6,sideways
7,92,6,11,longways
18,96,11,6,sideways
30,96,11,6,sideways
43,96,11,6,sideways
55,96,11,6,sideways
68,96,11,6,sideways
80,96,11,6,sideways
18,103,11,6,sideways
30,103,11,6,sideways
43,103,11,6,sideways
55,103,11,6,sideways
68,103,11,6,sideways
80,103,11,6,sideways
7,104,6,11,longways
7,117,6,11,longways
7,129,6,11,longways
