id,sessionid,title,abstract,authorname,authorbelongs,bookmark
1,L01,Web上で使えるLinux環境,近年、仮想化技術が進歩しており、単一のマシン上でも複数のオペレーティングシステムを動作させることが可能になってきているが、以前として使い勝手が悪い。インストールにも、そのコンピュータの仕様にもよるが、時間を要する。ので、Web 上でそれらを構築し、どこからでも同じ環境が使えるようになってほしい。,ヨラボ,埼玉大学,0
2,L02,漢方ＣＢＴシステム ,漢方薬は今では全診療科で処方されるほど、広く利用されている。しかし、医学部において系統的に漢方医学を学ぶ機会がなく、患者を前にして如何なる漢方薬を処方すべきかで悩む医師が多数いる。このような現状を鑑み、Eラーニングで漢方薬の処方を学ぶ漢方教育支援システムを既に開発している。本システムは、漢方教育支援システムと対になり、患者からの症状の問いに処方すべき漢方薬を選択させる多岐選択問題からなる小テストを実施するCBTシステムである。このCBTシステムは、Moodleを学習管理システムとし、受講生への個人成績レポートと教員が活用する形成的評価レポートを作成する新規機能を有している。,長州Five,山口大学,0
3,L03,電子透かしを用いたメッセージ交換 ,画像に電子透かしを付加して、特定のユーザ同士でメッセージのやり取りを行う。特定のソフトウェアを持っているユーザしか画像を読み取れないので、秘密情報が守られてメッセージのやりとりができる。ソフトウェアで画像の送受信も可能にする。メッセージとしては文字情報でも画像情報でも可能。ウェーブレット変換を使った方法を模索中。,電子透かしグループ,筑波大学,0
4,L04,料理技術が学べるアプリ ,基本的な料理技術（焼く、煮る、蒸す、揚げるetc）を身につけるため様々な料理のレシピを紹介して、ユーザーに料理をしてもらう．ログインボーナスや，作った料理に応じて経験値が貯まる，料理を作ることでゲーム内マネーが貯まり，新しいレシピを手に入れることができる，などゲーム感覚でできるようにする．基本的な調理法(切り方etc)もデータとして載せる．写真を上げて共有できたり，おいしそう！を押せるなど励ましあいながら料理ができるSNSとしても使える．,CookHat,"筑波大学, 愛媛大学",0
5,L05,まとめ買い支援システム ,コストコ、業務スーパー当格安店はあるが、そのどれもが大量セット販売であるため、学生単体で利用することは難しい。そこで、学生同士の共同購入を支援するシステムを開発する。購入者はシステムを用い共同購入者を募集、一定数の商品購入数が集まったらユーザに通知が届く。可能であれば、共同購入者はネット決済で商品代金を支払うようにしたい。共同購入者は実際に購入した代金を等分したものより少し多く支払ってもらい、決済手数料、購入者への購入手間賃、システム運用資金に充てたい。,まとめ買い支援,筑波大学,0
6,S01,防災・避難支援システム（仮） ,旅行、外出先における避難場所の把握がしにくい。避難場所が必ずしも安全とは限らない(東日本大震災を踏まえて)。定めていた場所の地盤、地形等が大雨などの気象により変化している可能性があるが、即時対応できない。避難経路内に災害によっては危険な経路になっている可能性がある平時にでも歩かせる工夫を設ける(ひと駅歩くナビを参考に)。歩いた距離を金銭、交通費に換算して表示。避難経路内にある観光、周辺施設の紹介(観光客が意識せずとも利用出来るように)。万歩計、消費カロリーの表示(ウォーキングの代わりにでも利用)。現状の指定避難場所を基に作成(災害マップ、web等を参考にして記入。そこから、SNSを用いて拡張、変更しやすいようにする)。SNSを利用した避難場所の誘導支援。SNSを平時から利用し(平時から利用する人が多い)、地域全体で危険個所の共有を出来るようにする。SNSの情報から、指定避難場所の新規指定・変更を行政で行い易くする(SNSだけでは変更判断の基準が明確ではないが、情報を基に現地に実際に行き、現状を把握することが出来る)。観光客や他の地域から来た人も情報を集めやすくする(観光情報、隠れ家的観光スポットを載せておくと見ることも多くなるかも),OU-LAB,千葉大学,0
7,S02,画像リプライ特化ツイッタークライアント ,ツイッターにおいて一部で流行している画像での会話を効率化するクライアントアプリケーション。予め使いたい画像にタグ付けをしておくことでリプライを送る際に適切な画像を素早く見つけることを可能にする。使用頻度なども考慮した推薦など,_:(*'ཀ'*」∠,筑波大学,0
8,S03,ハッシュタグを自動推薦するTwitterクライアント ,Twitterのハッシュタグを投稿時に自動的に推薦するTwitterクライアントを作成する。また同様の手法で、ハッシュタグが付与されていない他のユーザーによる投稿に対しても、自動的にハッシュタグの推定を行い、タイムラインの理解に役立てる。,チームNoW,筑波大学,0
9,S04,ワインマップ ,ワインの味は作り方、年、品種など様々な要素の影響を受けるが、地方毎に見ると傾向があるらしい。そこで今まで飲んだワインを地図上に表示することで、今までどんな地方(どんな味)のワインを飲んできたのか、どの地方のワインを飲んだことがないのかがわかり、買うときの手助けになるのではないだろうか。,Primtemps,筑波大学,0
10,S05,コロコロジャック ,イヤホンジャックに装着するコロコロ型のメジャーとその入力を利用したアプリケーションの制作。例えばこんなアプリ：卓上インテリアを探す時にサイズを計って、指定して探すのがめんどくさい。→スマホにメジャー付けて、それで計って、検索するアプリ。玩具路線。→コロコロ型メジャーをタイヤに見立てて車のエンジン音鳴らす。子供用のアプリ。何故イヤホンジャックか？：取り外しが容易、固定出来る、（検索のための）アプリケーション起動のトリガーに出来る。iPhone、Android対応（USBとかはiPhoneついてない）,コロジャー,"筑波大学, 岩手大学",0
11,S06,中古教科書斡旋システム ,大学の授業の教科書として買ったが授業を履修した後に読み返すものは限られている。教科書にかかる費用は安く抑えられるものならば抑えたいと考え人も少なくない。そんな人のための、いらなくなった教科書を売りたい人とこれから使う教科書を買いたい人をつなぐシステム。メインターゲットは大学生。買いたい人、売りたい人に教科書を登録してもらう。買いたい人と売りたい人をつなぎ合わせる。問題点として教科書の発送手続き、お金のやり取りが面倒。大学ごとにコミュニティを作り、直接やり取りすればよいのでは？大学ごとにコミュニティを作る場合、利用者に簡易シラバス（授業名、教員、教科書、コメントなど）を作ってもらう。,りばて,"東京理科大学, 岩手大学, 茨城大学",0
